    73/299     8.06G   0.02432   0.01035   0.03837   0.07304        16       416    0.4359    0.5374    0.5283    0.4491   0.02502  0.004166   0.04228
    74/299     8.06G   0.02439   0.01046    0.0381   0.07295        21       416    0.4331    0.5473    0.5475     0.471   0.02323  0.004262   0.04241
    75/299     8.06G   0.02434   0.01027   0.03718   0.07178        17       416    0.4526    0.5524    0.5347    0.4629   0.02273  0.004255   0.04337
    76/299     8.06G   0.02453   0.01059   0.03775   0.07287        21       416    0.4219    0.5959    0.5585    0.4781   0.02367  0.004233   0.04066
    77/299     8.06G   0.02432   0.01044    0.0365   0.07126        17       416    0.5079     0.532    0.5539      0.47   0.02304  0.004201    0.0407
    78/299     8.06G   0.02414   0.01008   0.03647   0.07069        27       416    0.4676    0.5592    0.5552    0.4735    0.0231  0.004343   0.04254
    79/299     8.06G   0.02412      0.01    0.0367   0.07083        28       416    0.4139    0.5746      0.55    0.4697   0.02374  0.004257   0.04188
    80/299     8.06G   0.02452   0.01028   0.03641   0.07121        32       416    0.5026    0.5515    0.5563    0.4717   0.02242  0.004172   0.04019
    81/299     8.06G   0.02421   0.01004   0.03619   0.07045        34       416    0.5212    0.5211    0.5688    0.4832   0.02285  0.004222   0.04006
    82/299     8.06G   0.02418    0.0101   0.03567   0.06995        39       416    0.5738    0.5193    0.5743    0.4914   0.02294  0.004207   0.03967
    83/299     8.06G    0.0242   0.01012   0.03525   0.06957        27       416    0.5078    0.5548    0.5673      0.49   0.02339  0.004209   0.04032
    84/299     8.06G   0.02406   0.01016   0.03517    0.0694        31       416    0.4983    0.5617    0.5794     0.497   0.02269  0.004181   0.04022
    85/299     8.06G    0.0238   0.01004   0.03532   0.06917        24       416    0.4535    0.6034    0.5839    0.5003   0.02285   0.00418   0.03899
    86/299     8.06G    0.0239   0.01016   0.03437   0.06842        33       416    0.4623    0.5762    0.5805    0.4909   0.02255  0.004172   0.03901
    87/299     8.06G   0.02433   0.01019   0.03407   0.06859        28       416     0.477    0.6095     0.592    0.5055   0.02313  0.004122   0.03734
    88/299     8.06G   0.02403    0.0099    0.0344   0.06833        23       416    0.4823    0.5911    0.5734    0.4832   0.02416  0.004082   0.03789
    89/299     8.06G   0.02393   0.01014   0.03371   0.06779        23       416    0.4939    0.5893    0.5948    0.5092   0.02392  0.004156   0.03743
    90/299     8.06G   0.02399   0.00993    0.0341   0.06802        35       416    0.4597    0.6247    0.5924    0.5089     0.024  0.004172   0.03718
    91/299     8.06G   0.02382  0.009985   0.03388   0.06768        36       416    0.4692    0.6149    0.5896    0.5082   0.02337  0.004119   0.03859
    92/299     8.06G   0.02388  0.009856   0.03295   0.06668        18       416    0.5313    0.5762    0.6142    0.5222   0.02347  0.004163    0.0383
